design,clock_period_ns,input_delay,output_delay,cell_count,chip_area,wns,tns,setup_violated
mac_unit,3.0,0.2,0.2,413,3485.8432,-3.23,-17.73,1
mac_unit,3.0,0.4,0.4,413,3485.8432,-3.23,-18.96,1
mac_unit,3.0,0.6,0.6,413,3485.8432,-3.23,-20.5,1
mac_unit,3.0,0.8,0.8,413,3485.8432,-3.23,-22.3,1
mac_unit,3.0,1.0,1.0,413,3485.8432,-3.23,-24.16,1
mac_unit,3.0,1.2,1.2,413,3485.8432,-3.23,-26.16,1
mac_unit,3.0,1.5,1.5,413,3485.8432,-3.23,-29.41,1
mac_unit,3.0,2.0,2.0,413,3485.8432,-3.23,-35.56,1
mac_unit,3.0,2.5,2.5,413,3485.8432,-3.23,-42.36,1
mac_unit,3.5,0.2,0.2,413,3485.8432,-2.73,-11.51,1
mac_unit,3.5,0.4,0.4,413,3485.8432,-2.73,-12.14,1
mac_unit,3.5,0.6,0.6,413,3485.8432,-2.73,-13.03,1
mac_unit,3.5,0.8,0.8,413,3485.8432,-2.73,-14.2,1
mac_unit,3.5,1.0,1.0,413,3485.8432,-2.73,-15.53,1
mac_unit,3.5,1.2,1.2,413,3485.8432,-2.73,-17.26,1
mac_unit,3.5,1.5,1.5,413,3485.8432,-2.73,-20.03,1
mac_unit,3.5,2.0,2.0,413,3485.8432,-2.73,-25.28,1
mac_unit,3.5,2.5,2.5,413,3485.8432,-2.73,-31.43,1
mac_unit,4.0,0.2,0.2,413,3485.8432,-2.23,-7.7,1
mac_unit,4.0,0.4,0.4,413,3485.8432,-2.23,-7.7,1
mac_unit,4.0,0.6,0.6,413,3485.8432,-2.23,-7.77,1
mac_unit,4.0,0.8,0.8,413,3485.8432,-2.23,-8.36,1
mac_unit,4.0,1.0,1.0,413,3485.8432,-2.23,-9.09,1
mac_unit,4.0,1.2,1.2,413,3485.8432,-2.23,-10.15,1
mac_unit,4.0,1.5,1.5,413,3485.8432,-2.23,-12.08,1
mac_unit,4.0,2.0,2.0,413,3485.8432,-2.23,-16.58,1
mac_unit,4.0,2.5,2.5,413,3485.8432,-2.23,-21.83,1
mac_unit,4.5,0.2,0.2,413,3485.8432,-1.73,-4.88,1
mac_unit,4.5,0.4,0.4,413,3485.8432,-1.73,-4.88,1
mac_unit,4.5,0.6,0.6,413,3485.8432,-1.73,-4.88,1
mac_unit,4.5,0.8,0.8,413,3485.8432,-1.73,-4.88,1
mac_unit,4.5,1.0,1.0,413,3485.8432,-1.73,-4.88,1
mac_unit,4.5,1.2,1.2,413,3485.8432,-1.73,-5.25,1
mac_unit,4.5,1.5,1.5,413,3485.8432,-1.73,-6.27,1
mac_unit,4.5,2.0,2.0,413,3485.8432,-1.73,-9.26,1
mac_unit,4.5,2.5,2.5,413,3485.8432,-1.73,-13.76,1
mac_unit,5.0,0.2,0.2,413,3485.8432,-1.23,-2.68,1
