clock_period_ns,input_delay,output_delay,cell_count,chip_area,wns,tns,setup_violated
3.0,0.2,0.2,413,3485.843200,-3.23,-17.73,1
3.0,0.4,0.4,413,3485.843200,-3.23,-18.96,1
3.0,0.6,0.6,413,3485.843200,-3.23,-20.50,1
3.0,0.8,0.8,413,3485.843200,-3.23,-22.30,1
3.0,1.0,1.0,413,3485.843200,-3.23,-24.16,1
3.0,1.2,1.2,413,3485.843200,-3.23,-26.16,1
3.0,1.5,1.5,413,3485.843200,-3.23,-29.41,1
3.0,2.0,2.0,413,3485.843200,-3.23,-35.56,1
3.0,2.5,2.5,413,3485.843200,-3.23,-42.36,1
3.5,0.2,0.2,413,3485.843200,-2.73,-11.51,1
3.5,0.4,0.4,413,3485.843200,-2.73,-12.14,1
3.5,0.6,0.6,413,3485.843200,-2.73,-13.03,1
3.5,0.8,0.8,413,3485.843200,-2.73,-14.20,1
3.5,1.0,1.0,413,3485.843200,-2.73,-15.53,1
3.5,1.2,1.2,413,3485.843200,-2.73,-17.26,1
3.5,1.5,1.5,413,3485.843200,-2.73,-20.03,1
3.5,2.0,2.0,413,3485.843200,-2.73,-25.28,1
3.5,2.5,2.5,413,3485.843200,-2.73,-31.43,1
4.0,0.2,0.2,413,3485.843200,-2.23,-7.70,1
4.0,0.4,0.4,413,3485.843200,-2.23,-7.70,1
4.0,0.6,0.6,413,3485.843200,-2.23,-7.77,1
4.0,0.8,0.8,413,3485.843200,-2.23,-8.36,1
4.0,1.0,1.0,413,3485.843200,-2.23,-9.09,1
4.0,1.2,1.2,413,3485.843200,-2.23,-10.15,1
4.0,1.5,1.5,413,3485.843200,-2.23,-12.08,1
4.0,2.0,2.0,413,3485.843200,-2.23,-16.58,1
4.0,2.5,2.5,413,3485.843200,-2.23,-21.83,1
4.5,0.2,0.2,413,3485.843200,-1.73,-4.88,1
4.5,0.4,0.4,413,3485.843200,-1.73,-4.88,1
4.5,0.6,0.6,413,3485.843200,-1.73,-4.88,1
4.5,0.8,0.8,413,3485.843200,-1.73,-4.88,1
4.5,1.0,1.0,413,3485.843200,-1.73,-4.88,1
4.5,1.2,1.2,413,3485.843200,-1.73,-5.25,1
4.5,1.5,1.5,413,3485.843200,-1.73,-6.27,1
4.5,2.0,2.0,413,3485.843200,-1.73,-9.26,1
4.5,2.5,2.5,413,3485.843200,-1.73,-13.76,1
5.0,0.2,0.2,413,3485.843200,-1.23,-2.68,1
5.0,0.4,0.4,413,3485.843200,-1.23,-2.68,1
5.0,0.6,0.6,413,3485.843200,-1.23,-2.68,1
5.0,0.8,0.8,413,3485.843200,-1.23,-2.68,1
5.0,1.0,1.0,413,3485.843200,-1.23,-2.68,1
5.0,1.2,1.2,413,3485.843200,-1.23,-2.68,1
5.0,1.5,1.5,413,3485.843200,-1.23,-2.68,1
5.0,2.0,2.0,413,3485.843200,-1.23,-4.08,1
5.0,2.5,2.5,413,3485.843200,-1.23,-7.07,1
5.5,0.2,0.2,413,3485.843200,-0.73,-1.10,1
5.5,0.4,0.4,413,3485.843200,-0.73,-1.10,1
5.5,0.6,0.6,413,3485.843200,-0.73,-1.10,1
5.5,0.8,0.8,413,3485.843200,-0.73,-1.10,1
5.5,1.0,1.0,413,3485.843200,-0.73,-1.10,1
5.5,1.2,1.2,413,3485.843200,-0.73,-1.10,1
5.5,1.5,1.5,413,3485.843200,-0.73,-1.10,1
5.5,2.0,2.0,413,3485.843200,-0.73,-1.10,1
5.5,2.5,2.5,413,3485.843200,-0.73,-2.49,1
6.0,0.2,0.2,413,3485.843200,-0.23,-0.23,1
6.0,0.4,0.4,413,3485.843200,-0.23,-0.23,1
6.0,0.6,0.6,413,3485.843200,-0.23,-0.23,1
6.0,0.8,0.8,413,3485.843200,-0.23,-0.23,1
6.0,1.0,1.0,413,3485.843200,-0.23,-0.23,1
6.0,1.2,1.2,413,3485.843200,-0.23,-0.23,1
6.0,1.5,1.5,413,3485.843200,-0.23,-0.23,1
6.0,2.0,2.0,413,3485.843200,-0.23,-0.23,1
6.0,2.5,2.5,413,3485.843200,-0.23,-0.23,1
6.5,0.2,0.2,413,3485.843200,0.00,0.00,0
6.5,0.4,0.4,413,3485.843200,0.00,0.00,0
6.5,0.6,0.6,413,3485.843200,0.00,0.00,0
6.5,0.8,0.8,413,3485.843200,0.00,0.00,0
6.5,1.0,1.0,413,3485.843200,0.00,0.00,0
6.5,1.2,1.2,413,3485.843200,0.00,0.00,0
6.5,1.5,1.5,413,3485.843200,0.00,0.00,0
6.5,2.0,2.0,413,3485.843200,0.00,0.00,0
6.5,2.5,2.5,413,3485.843200,0.00,0.00,0
7.0,0.2,0.2,413,3485.843200,0.00,0.00,0
7.0,0.4,0.4,413,3485.843200,0.00,0.00,0
7.0,0.6,0.6,413,3485.843200,0.00,0.00,0
7.0,0.8,0.8,413,3485.843200,0.00,0.00,0
7.0,1.0,1.0,413,3485.843200,0.00,0.00,0
7.0,1.2,1.2,413,3485.843200,0.00,0.00,0
7.0,1.5,1.5,413,3485.843200,0.00,0.00,0
7.0,2.0,2.0,413,3485.843200,0.00,0.00,0
7.0,2.5,2.5,413,3485.843200,0.00,0.00,0
7.5,0.2,0.2,413,3485.843200,0.00,0.00,0
7.5,0.4,0.4,413,3485.843200,0.00,0.00,0
7.5,0.6,0.6,413,3485.843200,0.00,0.00,0
7.5,0.8,0.8,413,3485.843200,0.00,0.00,0
7.5,1.0,1.0,413,3485.843200,0.00,0.00,0
7.5,1.2,1.2,413,3485.843200,0.00,0.00,0
7.5,1.5,1.5,413,3485.843200,0.00,0.00,0
7.5,2.0,2.0,413,3485.843200,0.00,0.00,0
7.5,2.5,2.5,413,3485.843200,0.00,0.00,0
8.0,0.2,0.2,413,3485.843200,0.00,0.00,0
8.0,0.4,0.4,413,3485.843200,0.00,0.00,0
8.0,0.6,0.6,413,3485.843200,0.00,0.00,0
8.0,0.8,0.8,413,3485.843200,0.00,0.00,0
8.0,1.0,1.0,413,3485.843200,0.00,0.00,0
8.0,1.2,1.2,413,3485.843200,0.00,0.00,0
8.0,1.5,1.5,413,3485.843200,0.00,0.00,0
8.0,2.0,2.0,413,3485.843200,0.00,0.00,0
8.0,2.5,2.5,413,3485.843200,0.00,0.00,0
8.5,0.2,0.2,413,3485.843200,0.00,0.00,0
8.5,0.4,0.4,413,3485.843200,0.00,0.00,0
8.5,0.6,0.6,413,3485.843200,0.00,0.00,0
8.5,0.8,0.8,413,3485.843200,0.00,0.00,0
8.5,1.0,1.0,413,3485.843200,0.00,0.00,0
8.5,1.2,1.2,413,3485.843200,0.00,0.00,0
8.5,1.5,1.5,413,3485.843200,0.00,0.00,0
8.5,2.0,2.0,413,3485.843200,0.00,0.00,0
8.5,2.5,2.5,413,3485.843200,0.00,0.00,0
9.0,0.2,0.2,413,3485.843200,0.00,0.00,0
9.0,0.4,0.4,413,3485.843200,0.00,0.00,0
9.0,0.6,0.6,413,3485.843200,0.00,0.00,0
9.0,0.8,0.8,413,3485.843200,0.00,0.00,0
9.0,1.0,1.0,413,3485.843200,0.00,0.00,0
9.0,1.2,1.2,413,3485.843200,0.00,0.00,0
9.0,1.5,1.5,413,3485.843200,0.00,0.00,0
9.0,2.0,2.0,413,3485.843200,0.00,0.00,0
9.0,2.5,2.5,413,3485.843200,0.00,0.00,0
9.5,0.2,0.2,413,3485.843200,0.00,0.00,0
9.5,0.4,0.4,413,3485.843200,0.00,0.00,0
9.5,0.6,0.6,413,3485.843200,0.00,0.00,0
9.5,0.8,0.8,413,3485.843200,0.00,0.00,0
9.5,1.0,1.0,413,3485.843200,0.00,0.00,0
9.5,1.2,1.2,413,3485.843200,0.00,0.00,0
9.5,1.5,1.5,413,3485.843200,0.00,0.00,0
9.5,2.0,2.0,413,3485.843200,0.00,0.00,0
9.5,2.5,2.5,413,3485.843200,0.00,0.00,0
10.0,0.2,0.2,413,3485.843200,0.00,0.00,0
10.0,0.4,0.4,413,3485.843200,0.00,0.00,0
10.0,0.6,0.6,413,3485.843200,0.00,0.00,0
10.0,0.8,0.8,413,3485.843200,0.00,0.00,0
10.0,1.0,1.0,413,3485.843200,0.00,0.00,0
10.0,1.2,1.2,413,3485.843200,0.00,0.00,0
10.0,1.5,1.5,413,3485.843200,0.00,0.00,0
10.0,2.0,2.0,413,3485.843200,0.00,0.00,0
10.0,2.5,2.5,413,3485.843200,0.00,0.00,0
10.5,0.2,0.2,413,3485.843200,0.00,0.00,0
10.5,0.4,0.4,413,3485.843200,0.00,0.00,0
10.5,0.6,0.6,413,3485.843200,0.00,0.00,0
10.5,0.8,0.8,413,3485.843200,0.00,0.00,0
10.5,1.0,1.0,413,3485.843200,0.00,0.00,0
10.5,1.2,1.2,413,3485.843200,0.00,0.00,0
10.5,1.5,1.5,413,3485.843200,0.00,0.00,0
10.5,2.0,2.0,413,3485.843200,0.00,0.00,0
10.5,2.5,2.5,413,3485.843200,0.00,0.00,0
11.0,0.2,0.2,413,3485.843200,0.00,0.00,0
11.0,0.4,0.4,413,3485.843200,0.00,0.00,0
11.0,0.6,0.6,413,3485.843200,0.00,0.00,0
11.0,0.8,0.8,413,3485.843200,0.00,0.00,0
11.0,1.0,1.0,413,3485.843200,0.00,0.00,0
11.0,1.2,1.2,413,3485.843200,0.00,0.00,0
11.0,1.5,1.5,413,3485.843200,0.00,0.00,0
11.0,2.0,2.0,413,3485.843200,0.00,0.00,0
11.0,2.5,2.5,413,3485.843200,0.00,0.00,0
11.5,0.2,0.2,413,3485.843200,0.00,0.00,0
11.5,0.4,0.4,413,3485.843200,0.00,0.00,0
11.5,0.6,0.6,413,3485.843200,0.00,0.00,0
11.5,0.8,0.8,413,3485.843200,0.00,0.00,0
11.5,1.0,1.0,413,3485.843200,0.00,0.00,0
11.5,1.2,1.2,413,3485.843200,0.00,0.00,0
11.5,1.5,1.5,413,3485.843200,0.00,0.00,0
11.5,2.0,2.0,413,3485.843200,0.00,0.00,0
11.5,2.5,2.5,413,3485.843200,0.00,0.00,0
12.0,0.2,0.2,413,3485.843200,0.00,0.00,0
12.0,0.4,0.4,413,3485.843200,0.00,0.00,0
12.0,0.6,0.6,413,3485.843200,0.00,0.00,0
12.0,0.8,0.8,413,3485.843200,0.00,0.00,0
12.0,1.0,1.0,413,3485.843200,0.00,0.00,0
12.0,1.2,1.2,413,3485.843200,0.00,0.00,0
12.0,1.5,1.5,413,3485.843200,0.00,0.00,0
12.0,2.0,2.0,413,3485.843200,0.00,0.00,0
12.0,2.5,2.5,413,3485.843200,0.00,0.00,0
12.5,0.2,0.2,413,3485.843200,0.00,0.00,0
12.5,0.4,0.4,413,3485.843200,0.00,0.00,0
12.5,0.6,0.6,413,3485.843200,0.00,0.00,0
12.5,0.8,0.8,413,3485.843200,0.00,0.00,0
12.5,1.0,1.0,413,3485.843200,0.00,0.00,0
12.5,1.2,1.2,413,3485.843200,0.00,0.00,0
12.5,1.5,1.5,413,3485.843200,0.00,0.00,0
12.5,2.0,2.0,413,3485.843200,0.00,0.00,0
12.5,2.5,2.5,413,3485.843200,0.00,0.00,0
